Title,Date,Time,Venue,Department,Format
EXECUTIVE SUMMER SCHOOL Turning Science into Value: Health Economics for Health Innovators,2026-07-13,09:00,Kellogg College,Kellogg College (College),In Person
HRA & NHS ethics submissions training,2026-07-14,10:00,Online / no venue,Medical Sciences (Division),Online
Connect@CHG Genomics Data Forum: Assessing Illumina Spatial Technology using kidney biopsies and other samples,2026-07-14,10:00,Henry Wellcome Building Rooms A & B,The Centre for Human Genetics (Unit),In Person
ESOC Presentations,2026-07-14,13:00,John Radcliffe Hospital - Wolfson Building - Seminar Room,Clinical Neurosciences (Department),In Person
Establishing the epigenome in early mammalian development,2026-07-14,14:00,Dorothy Crowfoot Hodgkin Building - DCHB 20-138 Seminar Room 2,Biochemistry (Department),In Person
Lunchtime Lab Talks: Lucassen Group & CPM,2026-07-15,12:30,Online / no venue,The Centre for Human Genetics (Unit),Hybrid
"Prof Beth Psaila - Exploring the MEGAverse - new insights into megakaryocytes and platelets, and their roles in cancer",2026-07-15,12:30,Online / no venue,Nuffield Department of Clinical Laboratory Sciences (Unit),Hybrid
OPDC seminar: Cell Atlases for Brain Health and Disease: Resources and Insights from the Allen Institute,2026-07-16,09:30,Dorothy Crowfoot Hodgkin Building - DCHB 20-026 Seminar Room 1,Kavli Institute for Nanoscience Discovery (Unit),In Person
Molecular Measurement of Immune Responses,2026-07-16,11:00,NDM Building,Oxford Branch of the Ludwig Institute for Cancer Research (Unit),In Person
Medical Grand Round - Renal Medicine,2026-07-16,13:00,Online / no venue,Medical Sciences (Division),In Person
3’ RNA Uridylation: Biological Insights and Targeted Inhibition as a Cancer Therapy,2026-07-16,15:00,Dorothy Crowfoot Hodgkin Building - Seminar Room 2 (Room 20-138),Biochemistry (Department),In Person
Geopolitical Risk | DPIR Executive Education Programme,2026-07-16,18:00,South Parks Road - Rhodes House,Politics & Int Relations (Department),In Person
Beatrice Blackwood Lecture 2026 with Professor Lady Sue Black,2026-07-17,17:00,Online / no venue,"Gardens, Libraries & Museums (Division)",In Person
